0:8:b9:18:54:e3,1,0.0.0.0,b'3060',0,0,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,10.10.10.246,b'2770',0,0,0,0,0,0,0
e0:ca:94:85:82:79,8,10.10.10.60,b'3230',0,0,0,0,0,0,0
e0:ca:94:85:82:70,8,10.10.10.54,b'3010',0,0,0,0,0,0,0
8:eb:74:bc:b:c0,8,10.10.10.114,b'3060',0,0,0,0,0,0,0
8:eb:74:bc:c:a4,8,10.10.10.165,b'3420',0,0,0,0,0,0,0
fc:52:8d:5e:95:4c,8,10.10.10.110,b'3260',0,0,0,0,0,0,0
fc:52:8d:5e:88:65,8,10.10.10.56,b'3150',0,0,0,0,0,0,0
fc:52:8d:5e:8f:fd,8,10.10.10.106,b'3380',0,0,0,0,0,0,0
fc:52:8d:5e:90:2a,8,10.10.10.243,b'3250',0,0,0,0,0,0,0
fc:52:8d:5e:8c:94,8,10.10.10.241,b'3020',0,0,0,0,0,0,0
fc:52:8d:5e:8c:79,8,10.10.10.59,b'3480',0,0,0,0,0,0,0
fc:52:8d:5e:8c:af,8,10.10.10.242,b'3300',0,0,0,0,0,0,0
fc:52:8d:5e:8c:28,8,10.10.10.104,b'2960',0,0,0,0,0,0,0
fc:52:8d:5e:88:2,8,10.10.10.53,b'2730',0,0,0,0,0,0,0
8:eb:74:bc:c:8c,8,10.10.10.105,b'2880',0,0,0,0,0,0,0
8:eb:74:bc:b:d8,8,10.10.10.103,b'2970',0,0,0,0,0,0,0
8:eb:74:bc:b:b4,8,10.10.10.98,b'2220',0,0,0,0,0,0,0
e0:ca:94:85:82:82,8,10.10.10.248,b'2880',0,0,0,0,0,0,0
8:eb:74:bc:c:8,8,10.10.10.176,b'2650',0,0,0,0,0,0,0
fc:4a:e9:9:ee:e3,8,10.10.10.100,b'3020',0,0,0,0,0,0,0
fc:4a:e9:9:ee:b6,8,10.10.10.67,b'3110',0,0,0,0,0,0,0
fc:4a:e9:9:ee:b3,8,10.10.10.58,b'2960',0,0,0,0,0,0,0
fc:4a:e9:9:ee:bf,8,10.10.10.198,b'2550',0,0,0,0,0,0,0
fc:4a:e9:9:ee:ad,8,10.10.10.175,b'3380',0,0,0,0,0,0,0
8:eb:74:bc:c:b0,8,10.10.10.183,b'3010',0,0,0,0,0,0,0
dc:ef:9:ff:5d:b0,8,10.10.10.55,b'3080',0,0,0,0,0,0,0
dc:ef:9:ff:5e:20,8,10.10.10.161,b'2880',0,0,0,0,0,0,0
dc:ef:9:ff:5d:90,8,10.10.10.166,b'2920',0,0,0,0,0,0,0
dc:ef:9:ff:5d:70,8,10.10.10.196,b'2920',0,0,0,0,0,0,0
fc:4a:e9:9:ee:fb,8,10.10.10.57,b'3080',0,0,0,0,0,0,0
8:eb:74:bc:c:98,8,10.10.10.169,b'2780',0,0,0,0,0,0,0
8:eb:74:bc:c:14,8,10.10.10.174,0,0,0,0,0,0,0,0
