0:8:b9:18:54:e3,1,0,0,0,0,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,182538,181838,700,38736,38657,79,31780,31724,56
e0:ca:94:85:82:79,8,169845,169112,733,50273,50195,78,25720,25699,21
e0:ca:94:85:82:70,8,3542584,3107216,435368,255231,156048,99183,174199,118176,56023
8:eb:74:bc:b:c0,8,160583,159836,747,50721,50641,80,26835,26808,27
8:eb:74:bc:c:a4,8,162100,161401,699,49877,49776,101,26907,26866,41
fc:52:8d:5e:95:4c,8,1073062,674257,398805,197135,107628,89507,124174,68257,55917
fc:52:8d:5e:88:65,8,171549,170821,728,47215,47159,56,32129,32096,33
fc:52:8d:5e:8f:fd,8,1737503,1338291,399212,229814,137530,92284,152089,95249,56840
fc:52:8d:5e:90:2a,8,1084119,692062,392057,193859,105389,88470,121303,66018,55285
fc:52:8d:5e:8c:94,8,185262,184584,678,47101,47010,91,30514,30492,22
fc:52:8d:5e:8c:79,8,1778391,1347970,430421,225353,127651,97702,156892,95167,61725
fc:52:8d:5e:8c:af,8,1067303,678797,388506,195266,106568,88698,125857,68632,57225
fc:52:8d:5e:8c:28,8,2356153,1957907,398246,251511,161280,90231,182388,124265,58123
fc:52:8d:5e:88:2,8,1063889,678195,385694,195937,106907,89030,122929,68116,54813
8:eb:74:bc:c:8c,8,158152,157458,694,52564,52476,88,26685,26661,24
8:eb:74:bc:b:d8,8,155715,154988,727,48382,48271,111,27889,27840,49
8:eb:74:bc:b:b4,8,156987,156241,746,49737,49643,94,27212,27160,52
e0:ca:94:85:82:82,8,158425,157712,713,49743,49660,83,27434,27416,18
8:eb:74:bc:c:8,8,167263,166563,700,42676,42560,116,26765,26724,41
fc:4a:e9:9:ee:e3,8,599687,160425,439262,147785,47725,100060,81882,26230,55652
fc:4a:e9:9:ee:b6,8,154732,154032,700,48565,48473,92,27526,27499,27
fc:4a:e9:9:ee:b3,8,154798,154115,683,48890,48821,69,27520,27492,28
fc:4a:e9:9:ee:bf,8,164645,163942,703,45537,45473,64,26033,26017,16
fc:4a:e9:9:ee:ad,8,129624,128937,687,35945,35859,86,27116,27104,12
8:eb:74:bc:c:b0,8,158286,157553,733,47258,47181,77,27178,27146,32
dc:ef:9:ff:5d:b0,8,569282,172347,396935,145141,54024,91117,83578,30310,53268
dc:ef:9:ff:5e:20,8,588185,187951,400234,138910,48320,90590,82916,29657,53259
dc:ef:9:ff:5d:90,8,178343,177648,695,50983,50881,102,30862,30836,26
dc:ef:9:ff:5d:70,8,179924,179255,669,52971,52872,99,30345,30311,34
fc:4a:e9:9:ee:fb,8,596538,159705,436833,144119,44014,100105,84359,27484,56875
8:eb:74:bc:c:98,8,167739,166975,764,48344,48220,124,25895,25851,44
8:eb:74:bc:c:14,8,161664,160912,752,50179,50077,102,26554,26486,68
e0:ca:94:85:79:67,1,0,0,0,0,0,0,0,0,0
