0:8:b9:18:54:e3,1,0,0,0,0,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,661720,522446,139274,19022,15998,3024,20807,14595,6212
e0:ca:94:85:82:79,8,1625743,1483567,142176,36866,34226,2640,26026,22555,3471
e0:ca:94:85:82:70,8,1555936,1418631,137305,54449,50696,3753,54813,47358,7455
8:eb:74:bc:b:c0,8,1577951,1439255,138696,54274,50546,3728,42580,36682,5898
8:eb:74:bc:c:a4,8,1568430,1429597,138833,56232,52542,3690,46149,40098,6051
fc:52:8d:5e:95:4c,8,1572613,1434031,138582,53945,50389,3556,45215,39034,6181
fc:52:8d:5e:88:65,8,656886,518331,138555,21863,18303,3560,22268,15843,6425
fc:52:8d:5e:8f:fd,8,1570221,1431062,139159,54551,50674,3877,45156,39764,5392
fc:52:8d:5e:90:2a,8,1601311,1460249,141062,41385,38645,2740,35105,30627,4478
fc:52:8d:5e:8c:94,8,1606612,1465563,141049,40154,37403,2751,32247,27696,4551
fc:52:8d:5e:8c:79,8,1564449,1425984,138465,56803,53206,3597,49607,43145,6462
fc:52:8d:5e:8c:af,8,1546933,1409934,136999,59475,55548,3927,57004,49383,7621
fc:52:8d:5e:8c:28,8,1557809,1420102,137707,60507,56528,3979,50898,44258,6640
fc:52:8d:5e:88:2,8,1565685,1427226,138459,56656,52775,3881,46120,40088,6032
8:eb:74:bc:c:8c,8,1563536,1425709,137827,60121,55799,4322,46895,40622,6273
8:eb:74:bc:b:d8,8,1550459,1412946,137513,58285,54408,3877,55359,48289,7070
8:eb:74:bc:b:b4,8,654560,516667,137893,23175,19463,3712,23957,17155,6802
e0:ca:94:85:82:82,8,1558239,1420456,137783,55818,52052,3766,51167,44393,6774
8:eb:74:bc:c:8,8,1571819,1432329,139490,48048,45158,2890,47145,41085,6060
fc:4a:e9:9:ee:e3,8,1565085,1425763,139322,53045,49837,3208,47418,41560,5858
fc:4a:e9:9:ee:b6,8,1539508,1402509,136999,59729,55845,3884,58152,50655,7497
fc:4a:e9:9:ee:b3,8,1555907,1417960,137947,57827,53943,3884,49521,43013,6508
fc:4a:e9:9:ee:bf,8,1578057,1438296,139761,49511,46314,3197,40830,35282,5548
fc:4a:e9:9:ee:ad,8,652383,515490,136893,23359,19701,3658,26165,18392,7773
8:eb:74:bc:c:b0,8,1572611,1432982,139629,51486,48333,3153,44345,38680,5665
dc:ef:9:ff:5d:b0,8,1555977,1417961,138016,59338,55610,3728,49791,43146,6645
dc:ef:9:ff:5e:20,8,1588627,1448108,140519,49267,46178,3089,36564,31759,4805
dc:ef:9:ff:5d:90,8,657564,519330,138234,22141,18605,3536,21946,15208,6738
dc:ef:9:ff:5d:70,8,1557459,1420043,137416,58512,54735,3777,51771,44625,7146
fc:4a:e9:9:ee:fb,8,1562921,1423924,138997,53817,50414,3403,50155,44150,6005
8:eb:74:bc:c:98,8,1577678,1438058,139620,53869,50320,3549,40763,35503,5260
8:eb:74:bc:c:14,8,1559991,1421439,138552,53936,50541,3395,51050,44518,6532
e0:ca:94:85:79:67,1,0,0,0,0,0,0,0,0,0
