e0:ca:94:85:79:67,1,0,0,0
fc:52:8d:5e:8c:c1,8,32580,1988,3
8:eb:74:bc:b:b4,8,40193,917,0
8:eb:74:bc:c:20,8,39576,2121,2
fc:4a:e9:9:ee:e3,8,2255,159,0
fc:52:8d:5e:8c:94,8,33524,924,0
fc:52:8d:5e:8c:79,8,36362,5791,32
fc:52:8d:5e:88:2,8,33485,834,0
8:eb:74:bc:b:d8,8,40744,1036,0
8:eb:74:bc:c:a4,8,38859,2691,0
fc:52:8d:5e:8c:28,8,33476,900,0
8:eb:74:bc:c:8c,8,40679,1195,0
fc:52:8d:5e:8f:fd,8,33569,930,0
5c:e3:e:70:e1:79,1,0,0,0
e0:ca:94:86:79:a4,8,40526,1687,0
fc:52:8d:5e:95:4c,8,33313,1437,0
fc:52:8d:5e:90:2a,8,33566,877,1
fc:52:8d:5e:8c:af,8,33529,968,0
fc:52:8d:5e:88:65,8,33151,901,2
8:eb:74:bc:b:c0,8,40728,967,0
0:50:f1:12:d8:94,8,33783,1208,15
fc:4a:e9:9:ee:b3,8,35107,5280,8
f0:f2:49:d0:de:50,8,3099,679,4
fc:4a:e9:9:ee:fb,8,39394,1104,0
fc:4a:e9:9:ee:b6,8,2048,204,2
dc:ef:9:ff:5d:90,8,2149,1832,0
fc:4a:e9:9:ee:bf,8,38737,1782,17
dc:ef:9:ff:5d:b0,8,28422,5217,9
dc:ef:9:ff:5d:70,1,0,0,0
dc:ef:9:ff:5e:20,8,29594,3168,0
8:eb:74:bc:c:8,8,2292,2319,1
8:eb:74:bc:c:14,8,4427,238,0
fc:4a:e9:9:ee:ad,8,3214,380,0
8:eb:74:bc:c:98,8,4305,350,3
8:eb:74:bc:c:b0,8,3846,672,0
0:50:f1:12:d8:80,1,0,0,0
0:8:b9:18:54:d2,1,0,0,0
0:8:b9:18:54:ea,1,0,0,0
