e0:ca:94:85:79:67,1,0,0,0
fc:52:8d:5e:8c:c1,8,6758,318,0
8:eb:74:bc:b:b4,8,7357,248,0
8:eb:74:bc:c:20,8,3442,170,0
fc:4a:e9:9:ee:e3,8,1071,41,0
fc:52:8d:5e:8c:94,8,3039,136,0
fc:52:8d:5e:8c:79,8,3149,586,0
fc:52:8d:5e:88:2,8,2167,86,0
8:eb:74:bc:b:d8,8,3430,116,0
8:eb:74:bc:c:a4,8,4218,283,0
fc:52:8d:5e:8c:28,8,2009,91,0
8:eb:74:bc:c:8c,8,3208,109,0
fc:52:8d:5e:8f:fd,8,2405,89,0
5c:e3:e:70:e1:79,1,0,0,0
e0:ca:94:86:79:a4,8,4010,160,0
fc:52:8d:5e:95:4c,8,1946,100,0
fc:52:8d:5e:90:2a,8,2613,100,0
fc:52:8d:5e:8c:af,8,2447,115,0
fc:52:8d:5e:88:65,8,2717,118,0
8:eb:74:bc:b:c0,8,4349,156,0
0:50:f1:12:d8:94,8,2192,172,0
fc:4a:e9:9:ee:b3,8,967,207,0
f0:f2:49:d0:de:50,8,949,84,1
fc:4a:e9:9:ee:fb,8,896,42,0
fc:4a:e9:9:ee:b6,8,1275,55,0
dc:ef:9:ff:5d:90,8,342,49,0
fc:4a:e9:9:ee:bf,8,1403,70,0
dc:ef:9:ff:5d:b0,8,624,87,0
dc:ef:9:ff:5d:70,1,0,0,0
dc:ef:9:ff:5e:20,8,495,46,0
8:eb:74:bc:c:8,8,1565,200,0
8:eb:74:bc:c:14,8,1714,64,0
fc:4a:e9:9:ee:ad,8,754,42,0
8:eb:74:bc:c:98,8,1747,69,0
8:eb:74:bc:c:b0,8,1704,89,0
0:50:f1:12:d8:80,1,0,0,0
0:8:b9:18:54:d2,1,0,0,0
0:8:b9:18:54:ea,1,0,0,0
