e0:ca:94:85:79:67,1,0,0,0
fc:52:8d:5e:8c:c1,8,322347,6270,0
8:eb:74:bc:b:b4,8,345976,3889,0
8:eb:74:bc:c:20,8,340564,5111,0
fc:4a:e9:9:ee:e3,8,338544,3479,0
fc:52:8d:5e:8c:94,8,320420,4673,0
fc:52:8d:5e:8c:79,8,334908,9237,103
fc:52:8d:5e:88:2,8,319393,4831,1
8:eb:74:bc:b:d8,8,343354,3391,0
8:eb:74:bc:c:a4,8,342244,5357,0
fc:52:8d:5e:8c:28,8,315987,7105,0
8:eb:74:bc:c:8c,8,343356,3573,0
fc:52:8d:5e:8f:fd,8,319137,4970,2
5c:e3:e:70:e1:79,1,0,0,0
e0:ca:94:86:79:a4,8,344103,3852,0
fc:52:8d:5e:95:4c,8,317099,6042,1
fc:52:8d:5e:90:2a,8,319767,5365,0
fc:52:8d:5e:8c:af,8,317615,5545,0
fc:52:8d:5e:88:65,8,321043,4728,0
8:eb:74:bc:b:c0,8,344127,3692,0
0:50:f1:12:d8:94,8,339379,7440,35
fc:4a:e9:9:ee:b3,8,336363,6246,0
f0:f2:49:d0:de:50,8,336769,6861,50
fc:4a:e9:9:ee:fb,8,339439,3702,0
fc:4a:e9:9:ee:b6,8,340197,3758,0
dc:ef:9:ff:5d:90,8,317158,6170,0
fc:4a:e9:9:ee:bf,8,339283,4344,0
dc:ef:9:ff:5d:b0,8,318078,6522,2
dc:ef:9:ff:5d:70,1,0,0,0
dc:ef:9:ff:5e:20,8,316408,5729,0
8:eb:74:bc:c:8,8,336961,6304,1
8:eb:74:bc:c:14,8,343627,3439,0
fc:4a:e9:9:ee:ad,8,338657,3637,0
8:eb:74:bc:c:98,8,341925,3590,0
8:eb:74:bc:c:b0,8,339690,3762,0
0:50:f1:12:d8:80,1,0,0,0
0:8:b9:18:54:d2,1,0,0,0
0:8:b9:18:54:ea,1,0,0,0
