e0:ca:94:85:79:67,1,0,0,0,0,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,758694,686395,72299,19717,18295,1422,1,0,1
8:eb:74:bc:b:b4,8,765719,698537,67182,13500,12709,791,0,0,0
8:eb:74:bc:c:20,8,758186,690914,67272,18101,16968,1133,1,1,0
fc:4a:e9:9:ee:e3,8,753938,686275,67663,13188,12362,826,0,0,0
fc:52:8d:5e:8c:94,8,756204,683359,72845,16235,15057,1178,0,0,0
fc:52:8d:5e:8c:79,8,150114,84332,65782,6252,4299,1953,19,8,11
fc:52:8d:5e:88:2,8,756038,683219,72819,15733,14580,1153,2,2,0
8:eb:74:bc:b:d8,8,766328,698364,67964,12679,11874,805,1,0,1
8:eb:74:bc:c:a4,8,758802,691193,67609,20857,19696,1161,1,1,0
fc:52:8d:5e:8c:28,8,747648,676561,71087,23934,21264,2670,0,0,0
8:eb:74:bc:c:8c,8,765705,697858,67847,13381,12490,891,0,0,0
fc:52:8d:5e:8f:fd,8,753913,682644,71269,16150,14924,1226,2,2,0
5c:e3:e:70:e1:79,1,0,0,0,0,0,0,0,0,0
e0:ca:94:86:79:a4,8,759214,691504,67710,15059,14237,822,1,1,0
fc:52:8d:5e:95:4c,8,752150,680928,71222,19157,17716,1441,2,1,1
fc:52:8d:5e:90:2a,8,754638,683188,71450,17286,15916,1370,1,0,1
fc:52:8d:5e:8c:af,8,751375,678930,72445,18526,17046,1480,1,1,0
fc:52:8d:5e:88:65,8,755184,682415,72769,16070,14910,1160,1,1,0
8:eb:74:bc:b:c0,8,765871,698206,67665,13393,12633,760,0,0,0
0:50:f1:12:d8:94,8,79357,44,79313,1813,14,1799,13,0,13
fc:4a:e9:9:ee:b3,8,731926,665046,66880,34743,33341,1402,0,0,0
f0:f2:49:d0:de:50,8,79167,4,79163,1520,2,1518,23,0,23
fc:4a:e9:9:ee:fb,8,755367,687926,67441,13531,12671,860,0,0,0
fc:4a:e9:9:ee:b6,8,754355,686984,67371,14663,13806,857,2,0,2
dc:ef:9:ff:5d:90,8,742527,670062,72465,26135,24681,1454,4,4,0
fc:4a:e9:9:ee:bf,8,752556,685512,67044,16053,15092,961,2,2,0
dc:ef:9:ff:5d:b0,8,739386,667945,71441,32521,30754,1767,4,4,0
dc:ef:9:ff:5d:70,1,0,0,0,0,0,0,0,0,0
dc:ef:9:ff:5e:20,8,745825,673567,72258,23680,22091,1589,2,2,0
8:eb:74:bc:c:8,8,701621,634710,66911,72493,71255,1238,9,5,4
8:eb:74:bc:c:14,8,770077,702463,67614,12585,11827,758,0,0,0
fc:4a:e9:9:ee:ad,8,757387,689663,67724,14079,13242,837,0,0,0
8:eb:74:bc:c:98,8,767945,700145,67800,12958,12182,776,0,0,0
8:eb:74:bc:c:b0,8,759809,691869,67940,15481,14750,731,1,1,0
0:50:f1:12:d8:80,1,0,0,0,0,0,0,0,0,0
0:8:b9:18:54:d2,1,0,0,0,0,0,0,0,0,0
0:8:b9:18:54:ea,1,0,0,0,0,0,0,0,0,0
